Year,SEX,AREA,AGE,Value
2009,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,0.9
2010,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,0.5
2011,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.7
2012,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.5
2013,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.4
2014,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.3
2015,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,2.8
2016,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.9
2017,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.7
2018,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,
2000,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2001,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2002,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2003,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2004,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2005,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2006,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2007,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2008,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2009,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2010,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2011,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2012,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2013,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2014,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2015,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2016,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2017,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2018,Both sexes or no breakdown by sex,Gaza Strip,10 to 14 years old,
2000,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,2.7
2001,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.5
2002,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.0
2003,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.8
2004,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.3
2005,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.4
2006,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.1
2007,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.5
2008,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.2
2009,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,0.9
2010,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,0.5
2011,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.7
2012,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.5
2013,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.4
2014,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.3
2015,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,2.8
2016,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.9
2017,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.7
2018,Both sexes or no breakdown by sex,Gaza Strip,10 to 17 years old,1.3
2000,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2001,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2002,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2003,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2004,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2005,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2006,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2007,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2008,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2009,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2010,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2011,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2012,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2013,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2014,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2015,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2016,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2017,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2018,Both sexes or no breakdown by sex,Gaza Strip,15 to 17 years old,
2000,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,4.3
2001,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2.2
2002,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,1.6
2003,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2.7
2004,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2.3
2005,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,2.9
2006,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,4.4
2007,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,4.6
2008,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.7
2009,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.6
2010,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.6
2011,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,4.1
2012,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,4.0
2013,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.4
2014,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.6
2015,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,4.5
2016,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.9
2017,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,3.4
2018,Both sexes or no breakdown by sex,Palestine,All age ranges or no breakdown by age,
2000,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.7
2001,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,0.5
2002,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,0.5
2003,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.2
2004,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.0
2005,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.3
2006,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.9
2007,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,3.1
2008,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.3
2009,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.1
2010,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.3
2011,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.2
2012,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.1
2013,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.5
2014,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.6
2015,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,2.0
2016,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.7
2017,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,1.2
2018,Both sexes or no breakdown by sex,Palestine,10 to 14 years old,0.9
2000,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,4.3
2001,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2.2
2002,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,1.6
2003,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2.7
2004,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2.3
2005,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2.9
2006,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,4.4
2007,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,4.6
2008,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.7
2009,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.6
2010,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.6
2011,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,4.1
2012,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,4.0
2013,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.4
2014,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.6
2015,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,4.5
2016,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.9
2017,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,3.4
2018,Both sexes or no breakdown by sex,Palestine,10 to 17 years old,2.9
2000,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,9.9
2001,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,5.7
2002,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,3.9
2003,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,5.6
2004,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,4.7
2005,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,5.7
2006,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.3
2007,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.2
2008,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,6.1
2009,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,6.4
2010,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,6.1
2011,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.5
2012,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.7
2013,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.0
2014,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.5
2015,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,9.0
2016,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.8
2017,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,7.2
2018,Both sexes or no breakdown by sex,Palestine,15 to 17 years old,6.6
