Year,SEX,AREA,OCCUPATION,Value
2013,Female,West Bank,Total or no breakdown by Occupation,
2014,Female,West Bank,Total or no breakdown by Occupation,
2015,Female,West Bank,Total or no breakdown by Occupation,
2016,Female,West Bank,Total or no breakdown by Occupation,
2017,Female,West Bank,Total or no breakdown by Occupation,
2018,Female,West Bank,Total or no breakdown by Occupation,
2019,Female,West Bank,Total or no breakdown by Occupation,
2020,Female,West Bank,Total or no breakdown by Occupation,
2021,Female,West Bank,Total or no breakdown by Occupation,
2000,Female,West Bank,Technicians and associate professionals,
2001,Female,West Bank,Technicians and associate professionals,
2002,Female,West Bank,Technicians and associate professionals,
2003,Female,West Bank,Technicians and associate professionals,
2004,Female,West Bank,Technicians and associate professionals,
2005,Female,West Bank,Technicians and associate professionals,
2006,Female,West Bank,Technicians and associate professionals,
2007,Female,West Bank,Technicians and associate professionals,
2008,Female,West Bank,Technicians and associate professionals,
2009,Female,West Bank,Technicians and associate professionals,
2010,Female,West Bank,Technicians and associate professionals,
2011,Female,West Bank,Technicians and associate professionals,
2012,Female,West Bank,Technicians and associate professionals,
2013,Female,West Bank,Technicians and associate professionals,
2014,Female,West Bank,Technicians and associate professionals,
2015,Female,West Bank,Technicians and associate professionals,
2016,Female,West Bank,Technicians and associate professionals,
2017,Female,West Bank,Technicians and associate professionals,
2018,Female,West Bank,Technicians and associate professionals,
2019,Female,West Bank,Technicians and associate professionals,
2020,Female,West Bank,Technicians and associate professionals,
2021,Female,West Bank,Technicians and associate professionals,
2000,Female,West Bank,Service and sales workers,
2001,Female,West Bank,Service and sales workers,
2002,Female,West Bank,Service and sales workers,
2003,Female,West Bank,Service and sales workers,
2004,Female,West Bank,Service and sales workers,
2005,Female,West Bank,Service and sales workers,
2006,Female,West Bank,Service and sales workers,
2007,Female,West Bank,Service and sales workers,
2008,Female,West Bank,Service and sales workers,
2009,Female,West Bank,Service and sales workers,
2010,Female,West Bank,Service and sales workers,
2011,Female,West Bank,Service and sales workers,
2012,Female,West Bank,Service and sales workers,
2013,Female,West Bank,Service and sales workers,
2014,Female,West Bank,Service and sales workers,
2015,Female,West Bank,Service and sales workers,
2016,Female,West Bank,Service and sales workers,
2017,Female,West Bank,Service and sales workers,
2018,Female,West Bank,Service and sales workers,
2019,Female,West Bank,Service and sales workers,
2020,Female,West Bank,Service and sales workers,
2021,Female,West Bank,Service and sales workers,
2000,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2001,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2002,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2003,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2004,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2005,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2006,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2007,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2008,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2009,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2010,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2011,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2012,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2013,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2014,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2015,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2016,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2017,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2018,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2019,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2020,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2021,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2000,Female,West Bank,Craft and related trades workers,
2001,Female,West Bank,Craft and related trades workers,
2002,Female,West Bank,Craft and related trades workers,
2003,Female,West Bank,Craft and related trades workers,
2004,Female,West Bank,Craft and related trades workers,
2005,Female,West Bank,Craft and related trades workers,
2006,Female,West Bank,Craft and related trades workers,
2007,Female,West Bank,Craft and related trades workers,
2008,Female,West Bank,Craft and related trades workers,
2009,Female,West Bank,Craft and related trades workers,
2010,Female,West Bank,Craft and related trades workers,
2011,Female,West Bank,Craft and related trades workers,
2012,Female,West Bank,Craft and related trades workers,
2013,Female,West Bank,Craft and related trades workers,
2014,Female,West Bank,Craft and related trades workers,
2015,Female,West Bank,Craft and related trades workers,
2016,Female,West Bank,Craft and related trades workers,
2017,Female,West Bank,Craft and related trades workers,
2018,Female,West Bank,Craft and related trades workers,
2019,Female,West Bank,Craft and related trades workers,
2020,Female,West Bank,Craft and related trades workers,
2021,Female,West Bank,Craft and related trades workers,
2000,Female,West Bank,"Plant and machine operators, and assemblers",
2001,Female,West Bank,"Plant and machine operators, and assemblers",
2002,Female,West Bank,"Plant and machine operators, and assemblers",
2003,Female,West Bank,"Plant and machine operators, and assemblers",
2004,Female,West Bank,"Plant and machine operators, and assemblers",
2005,Female,West Bank,"Plant and machine operators, and assemblers",
2006,Female,West Bank,"Plant and machine operators, and assemblers",
2007,Female,West Bank,"Plant and machine operators, and assemblers",
2008,Female,West Bank,"Plant and machine operators, and assemblers",
2009,Female,West Bank,"Plant and machine operators, and assemblers",
2010,Female,West Bank,"Plant and machine operators, and assemblers",
2011,Female,West Bank,"Plant and machine operators, and assemblers",
2012,Female,West Bank,"Plant and machine operators, and assemblers",
2013,Female,West Bank,"Plant and machine operators, and assemblers",
2014,Female,West Bank,"Plant and machine operators, and assemblers",
2015,Female,West Bank,"Plant and machine operators, and assemblers",
2016,Female,West Bank,"Plant and machine operators, and assemblers",
2017,Female,West Bank,"Plant and machine operators, and assemblers",
2018,Female,West Bank,"Plant and machine operators, and assemblers",
2019,Female,West Bank,"Plant and machine operators, and assemblers",
2020,Female,West Bank,"Plant and machine operators, and assemblers",
2021,Female,West Bank,"Plant and machine operators, and assemblers",
2000,Female,West Bank,Elementary occupations,
2001,Female,West Bank,Elementary occupations,
2002,Female,West Bank,Elementary occupations,
2003,Female,West Bank,Elementary occupations,
2004,Female,West Bank,Elementary occupations,
2005,Female,West Bank,Elementary occupations,
2006,Female,West Bank,Elementary occupations,
2007,Female,West Bank,Elementary occupations,
2008,Female,West Bank,Elementary occupations,
2009,Female,West Bank,Elementary occupations,
2010,Female,West Bank,Elementary occupations,
2011,Female,West Bank,Elementary occupations,
2012,Female,West Bank,Elementary occupations,
2013,Female,West Bank,Elementary occupations,
2014,Female,West Bank,Elementary occupations,
2015,Female,West Bank,Elementary occupations,
2016,Female,West Bank,Elementary occupations,
2017,Female,West Bank,Elementary occupations,
2018,Female,West Bank,Elementary occupations,
2019,Female,West Bank,Elementary occupations,
2020,Female,West Bank,Elementary occupations,
2021,Female,West Bank,Elementary occupations,
2000,Female,West Bank,"Legislators, senior officials and managers",
2001,Female,West Bank,"Legislators, senior officials and managers",
2002,Female,West Bank,"Legislators, senior officials and managers",
2003,Female,West Bank,"Legislators, senior officials and managers",
2004,Female,West Bank,"Legislators, senior officials and managers",
2005,Female,West Bank,"Legislators, senior officials and managers",
2006,Female,West Bank,"Legislators, senior officials and managers",
2007,Female,West Bank,"Legislators, senior officials and managers",
2008,Female,West Bank,"Legislators, senior officials and managers",
2009,Female,West Bank,"Legislators, senior officials and managers",
2010,Female,West Bank,"Legislators, senior officials and managers",
2011,Female,West Bank,"Legislators, senior officials and managers",
2012,Female,West Bank,"Legislators, senior officials and managers",
2013,Female,West Bank,"Legislators, senior officials and managers",
2014,Female,West Bank,"Legislators, senior officials and managers",
2015,Female,West Bank,"Legislators, senior officials and managers",
2016,Female,West Bank,"Legislators, senior officials and managers",
2017,Female,West Bank,"Legislators, senior officials and managers",
2018,Female,West Bank,"Legislators, senior officials and managers",
2019,Female,West Bank,"Legislators, senior officials and managers",
2020,Female,West Bank,"Legislators, senior officials and managers",
2021,Female,West Bank,"Legislators, senior officials and managers",
2000,Female,Gaza Strip,Total or no breakdown by Occupation,
2001,Female,Gaza Strip,Total or no breakdown by Occupation,
2002,Female,Gaza Strip,Total or no breakdown by Occupation,
2003,Female,Gaza Strip,Total or no breakdown by Occupation,
2004,Female,Gaza Strip,Total or no breakdown by Occupation,
2005,Female,Gaza Strip,Total or no breakdown by Occupation,
2006,Female,Gaza Strip,Total or no breakdown by Occupation,
2007,Female,Gaza Strip,Total or no breakdown by Occupation,
2008,Female,Gaza Strip,Total or no breakdown by Occupation,
2009,Female,Gaza Strip,Total or no breakdown by Occupation,
2010,Female,Gaza Strip,Total or no breakdown by Occupation,
2011,Female,Gaza Strip,Total or no breakdown by Occupation,
2012,Female,Gaza Strip,Total or no breakdown by Occupation,
2013,Female,Gaza Strip,Total or no breakdown by Occupation,
2014,Female,Gaza Strip,Total or no breakdown by Occupation,
2015,Female,Gaza Strip,Total or no breakdown by Occupation,
2016,Female,Gaza Strip,Total or no breakdown by Occupation,
2017,Female,Gaza Strip,Total or no breakdown by Occupation,
2018,Female,Gaza Strip,Total or no breakdown by Occupation,
2019,Female,Gaza Strip,Total or no breakdown by Occupation,
2020,Female,Gaza Strip,Total or no breakdown by Occupation,
2021,Female,Gaza Strip,Total or no breakdown by Occupation,
2000,Female,Gaza Strip,Technicians and associate professionals,
2001,Female,Gaza Strip,Technicians and associate professionals,
2002,Female,Gaza Strip,Technicians and associate professionals,
2003,Female,Gaza Strip,Technicians and associate professionals,
2004,Female,Gaza Strip,Technicians and associate professionals,
2005,Female,Gaza Strip,Technicians and associate professionals,
2006,Female,Gaza Strip,Technicians and associate professionals,
2007,Female,Gaza Strip,Technicians and associate professionals,
2008,Female,Gaza Strip,Technicians and associate professionals,
2009,Female,Gaza Strip,Technicians and associate professionals,
2010,Female,Gaza Strip,Technicians and associate professionals,
2011,Female,Gaza Strip,Technicians and associate professionals,
2012,Female,Gaza Strip,Technicians and associate professionals,
2013,Female,Gaza Strip,Technicians and associate professionals,
2014,Female,Gaza Strip,Technicians and associate professionals,
2015,Female,Gaza Strip,Technicians and associate professionals,
2016,Female,Gaza Strip,Technicians and associate professionals,
2017,Female,Gaza Strip,Technicians and associate professionals,
2018,Female,Gaza Strip,Technicians and associate professionals,
2019,Female,Gaza Strip,Technicians and associate professionals,
2020,Female,Gaza Strip,Technicians and associate professionals,
2021,Female,Gaza Strip,Technicians and associate professionals,
2000,Female,Gaza Strip,Service and sales workers,
2001,Female,Gaza Strip,Service and sales workers,
2002,Female,Gaza Strip,Service and sales workers,
2003,Female,Gaza Strip,Service and sales workers,
2004,Female,Gaza Strip,Service and sales workers,
2005,Female,Gaza Strip,Service and sales workers,
2006,Female,Gaza Strip,Service and sales workers,
2007,Female,Gaza Strip,Service and sales workers,
2008,Female,Gaza Strip,Service and sales workers,
2009,Female,Gaza Strip,Service and sales workers,
2010,Female,Gaza Strip,Service and sales workers,
2011,Female,Gaza Strip,Service and sales workers,
2012,Female,Gaza Strip,Service and sales workers,
2013,Female,Gaza Strip,Service and sales workers,
2014,Female,Gaza Strip,Service and sales workers,
2015,Female,Gaza Strip,Service and sales workers,
2016,Female,Gaza Strip,Service and sales workers,
2017,Female,Gaza Strip,Service and sales workers,
2018,Female,Gaza Strip,Service and sales workers,
2019,Female,Gaza Strip,Service and sales workers,
2020,Female,Gaza Strip,Service and sales workers,
2021,Female,Gaza Strip,Service and sales workers,
2000,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2001,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2002,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2003,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2004,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2005,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2006,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2007,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2008,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2009,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2010,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2011,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2012,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2013,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2014,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2015,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2016,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2017,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2018,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2019,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2020,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2021,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2000,Female,Gaza Strip,Craft and related trades workers,
2001,Female,Gaza Strip,Craft and related trades workers,
2002,Female,Gaza Strip,Craft and related trades workers,
2003,Female,Gaza Strip,Craft and related trades workers,
2004,Female,Gaza Strip,Craft and related trades workers,
2005,Female,Gaza Strip,Craft and related trades workers,
2006,Female,Gaza Strip,Craft and related trades workers,
2007,Female,Gaza Strip,Craft and related trades workers,
2008,Female,Gaza Strip,Craft and related trades workers,
2009,Female,Gaza Strip,Craft and related trades workers,
2010,Female,Gaza Strip,Craft and related trades workers,
2011,Female,Gaza Strip,Craft and related trades workers,
2012,Female,Gaza Strip,Craft and related trades workers,
2013,Female,Gaza Strip,Craft and related trades workers,
2014,Female,Gaza Strip,Craft and related trades workers,
2015,Female,Gaza Strip,Craft and related trades workers,
2016,Female,Gaza Strip,Craft and related trades workers,
2017,Female,Gaza Strip,Craft and related trades workers,
2018,Female,Gaza Strip,Craft and related trades workers,
2019,Female,Gaza Strip,Craft and related trades workers,
2020,Female,Gaza Strip,Craft and related trades workers,
2021,Female,Gaza Strip,Craft and related trades workers,
2000,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2001,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2002,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2003,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2004,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2005,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2006,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2007,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2008,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2009,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2010,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2011,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2012,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2013,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2014,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2015,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2016,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2017,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2018,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2019,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2020,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2021,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2000,Female,Gaza Strip,Elementary occupations,
2001,Female,Gaza Strip,Elementary occupations,
2002,Female,Gaza Strip,Elementary occupations,
2003,Female,Gaza Strip,Elementary occupations,
2004,Female,Gaza Strip,Elementary occupations,
2005,Female,Gaza Strip,Elementary occupations,
2006,Female,Gaza Strip,Elementary occupations,
2007,Female,Gaza Strip,Elementary occupations,
2008,Female,Gaza Strip,Elementary occupations,
2009,Female,Gaza Strip,Elementary occupations,
2010,Female,Gaza Strip,Elementary occupations,
2011,Female,Gaza Strip,Elementary occupations,
2012,Female,Gaza Strip,Elementary occupations,
2013,Female,Gaza Strip,Elementary occupations,
2014,Female,Gaza Strip,Elementary occupations,
2015,Female,Gaza Strip,Elementary occupations,
2016,Female,Gaza Strip,Elementary occupations,
2017,Female,Gaza Strip,Elementary occupations,
2018,Female,Gaza Strip,Elementary occupations,
2019,Female,Gaza Strip,Elementary occupations,
2020,Female,Gaza Strip,Elementary occupations,
2021,Female,Gaza Strip,Elementary occupations,
2000,Female,Gaza Strip,"Legislators, senior officials and managers",
2001,Female,Gaza Strip,"Legislators, senior officials and managers",
2002,Female,Gaza Strip,"Legislators, senior officials and managers",
2003,Female,Gaza Strip,"Legislators, senior officials and managers",
2004,Female,Gaza Strip,"Legislators, senior officials and managers",
2005,Female,Gaza Strip,"Legislators, senior officials and managers",
2006,Female,Gaza Strip,"Legislators, senior officials and managers",
2007,Female,Gaza Strip,"Legislators, senior officials and managers",
2008,Female,Gaza Strip,"Legislators, senior officials and managers",
2009,Female,Gaza Strip,"Legislators, senior officials and managers",
2010,Female,Gaza Strip,"Legislators, senior officials and managers",
2011,Female,Gaza Strip,"Legislators, senior officials and managers",
2012,Female,Gaza Strip,"Legislators, senior officials and managers",
2013,Female,Gaza Strip,"Legislators, senior officials and managers",
2014,Female,Gaza Strip,"Legislators, senior officials and managers",
2015,Female,Gaza Strip,"Legislators, senior officials and managers",
2016,Female,Gaza Strip,"Legislators, senior officials and managers",
2017,Female,Gaza Strip,"Legislators, senior officials and managers",
2018,Female,Gaza Strip,"Legislators, senior officials and managers",
2019,Female,Gaza Strip,"Legislators, senior officials and managers",
2020,Female,Gaza Strip,"Legislators, senior officials and managers",
2021,Female,Gaza Strip,"Legislators, senior officials and managers",
2000,Female,Palestine,Total or no breakdown by Occupation,55.1
2001,Female,Palestine,Total or no breakdown by Occupation,56.3
2002,Female,Palestine,Total or no breakdown by Occupation,61.3
2003,Female,Palestine,Total or no breakdown by Occupation,61.9
2004,Female,Palestine,Total or no breakdown by Occupation,63.8
2005,Female,Palestine,Total or no breakdown by Occupation,66.9
2006,Female,Palestine,Total or no breakdown by Occupation,70.6
2007,Female,Palestine,Total or no breakdown by Occupation,70.1
2008,Female,Palestine,Total or no breakdown by Occupation,74.6
2009,Female,Palestine,Total or no breakdown by Occupation,77.0
2010,Female,Palestine,Total or no breakdown by Occupation,77.4
2011,Female,Palestine,Total or no breakdown by Occupation,79.3
2012,Female,Palestine,Total or no breakdown by Occupation,82.5
2013,Female,Palestine,Total or no breakdown by Occupation,81.5
2014,Female,Palestine,Total or no breakdown by Occupation,81.1
2015,Female,Palestine,Total or no breakdown by Occupation,82.3
2016,Female,Palestine,Total or no breakdown by Occupation,83.4
2017,Female,Palestine,Total or no breakdown by Occupation,84.6
2018,Female,Palestine,Total or no breakdown by Occupation,92.5
2019,Female,Palestine,Total or no breakdown by Occupation,98.6
2020,Female,Palestine,Total or no breakdown by Occupation,107.7
2021,Female,Palestine,Total or no breakdown by Occupation,106.1
2000,Female,Palestine,Technicians and associate professionals,
2001,Female,Palestine,Technicians and associate professionals,
2002,Female,Palestine,Technicians and associate professionals,
2003,Female,Palestine,Technicians and associate professionals,
2004,Female,Palestine,Technicians and associate professionals,
2005,Female,Palestine,Technicians and associate professionals,
2006,Female,Palestine,Technicians and associate professionals,
2007,Female,Palestine,Technicians and associate professionals,
2008,Female,Palestine,Technicians and associate professionals,
2009,Female,Palestine,Technicians and associate professionals,
2010,Female,Palestine,Technicians and associate professionals,
2011,Female,Palestine,Technicians and associate professionals,
2012,Female,Palestine,Technicians and associate professionals,
2013,Female,Palestine,Technicians and associate professionals,
2014,Female,Palestine,Technicians and associate professionals,
2015,Female,Palestine,Technicians and associate professionals,
2016,Female,Palestine,Technicians and associate professionals,
2017,Female,Palestine,Technicians and associate professionals,
2018,Female,Palestine,Technicians and associate professionals,
2019,Female,Palestine,Technicians and associate professionals,
2020,Female,Palestine,Technicians and associate professionals,
2021,Female,Palestine,Technicians and associate professionals,
2000,Female,Palestine,Service and sales workers,
2001,Female,Palestine,Service and sales workers,
2002,Female,Palestine,Service and sales workers,
2003,Female,Palestine,Service and sales workers,
2004,Female,Palestine,Service and sales workers,
2005,Female,Palestine,Service and sales workers,
2006,Female,Palestine,Service and sales workers,
2007,Female,Palestine,Service and sales workers,
2008,Female,Palestine,Service and sales workers,
2009,Female,Palestine,Service and sales workers,
2010,Female,Palestine,Service and sales workers,
2011,Female,Palestine,Service and sales workers,
2012,Female,Palestine,Service and sales workers,
2013,Female,Palestine,Service and sales workers,
2014,Female,Palestine,Service and sales workers,
2015,Female,Palestine,Service and sales workers,
2016,Female,Palestine,Service and sales workers,
2017,Female,Palestine,Service and sales workers,
2018,Female,Palestine,Service and sales workers,
2019,Female,Palestine,Service and sales workers,
2020,Female,Palestine,Service and sales workers,
2021,Female,Palestine,Service and sales workers,
2000,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2001,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2002,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2003,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2004,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2005,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2006,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2007,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2008,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2009,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2010,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2011,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2012,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2013,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2014,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2015,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2016,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2017,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2018,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2019,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2020,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2021,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2000,Female,Palestine,Craft and related trades workers,
2001,Female,Palestine,Craft and related trades workers,
2002,Female,Palestine,Craft and related trades workers,
2003,Female,Palestine,Craft and related trades workers,
2004,Female,Palestine,Craft and related trades workers,
2005,Female,Palestine,Craft and related trades workers,
2006,Female,Palestine,Craft and related trades workers,
2007,Female,Palestine,Craft and related trades workers,
2008,Female,Palestine,Craft and related trades workers,
2009,Female,Palestine,Craft and related trades workers,
2010,Female,Palestine,Craft and related trades workers,
2011,Female,Palestine,Craft and related trades workers,
2012,Female,Palestine,Craft and related trades workers,
2013,Female,Palestine,Craft and related trades workers,
2014,Female,Palestine,Craft and related trades workers,
2015,Female,Palestine,Craft and related trades workers,
2016,Female,Palestine,Craft and related trades workers,
2017,Female,Palestine,Craft and related trades workers,
2018,Female,Palestine,Craft and related trades workers,
2019,Female,Palestine,Craft and related trades workers,
2020,Female,Palestine,Craft and related trades workers,
2021,Female,Palestine,Craft and related trades workers,
2000,Female,Palestine,"Plant and machine operators, and assemblers",
2001,Female,Palestine,"Plant and machine operators, and assemblers",
2002,Female,Palestine,"Plant and machine operators, and assemblers",
2003,Female,Palestine,"Plant and machine operators, and assemblers",
2004,Female,Palestine,"Plant and machine operators, and assemblers",
2005,Female,Palestine,"Plant and machine operators, and assemblers",
2006,Female,Palestine,"Plant and machine operators, and assemblers",
2007,Female,Palestine,"Plant and machine operators, and assemblers",
2008,Female,Palestine,"Plant and machine operators, and assemblers",
2009,Female,Palestine,"Plant and machine operators, and assemblers",
2010,Female,Palestine,"Plant and machine operators, and assemblers",
2011,Female,Palestine,"Plant and machine operators, and assemblers",
2012,Female,Palestine,"Plant and machine operators, and assemblers",
2013,Female,Palestine,"Plant and machine operators, and assemblers",
2014,Female,Palestine,"Plant and machine operators, and assemblers",
2015,Female,Palestine,"Plant and machine operators, and assemblers",
2016,Female,Palestine,"Plant and machine operators, and assemblers",
2017,Female,Palestine,"Plant and machine operators, and assemblers",
2018,Female,Palestine,"Plant and machine operators, and assemblers",
2019,Female,Palestine,"Plant and machine operators, and assemblers",
2020,Female,Palestine,"Plant and machine operators, and assemblers",
2021,Female,Palestine,"Plant and machine operators, and assemblers",
2000,Female,Palestine,Elementary occupations,
2001,Female,Palestine,Elementary occupations,
2002,Female,Palestine,Elementary occupations,
2003,Female,Palestine,Elementary occupations,
2004,Female,Palestine,Elementary occupations,
2005,Female,Palestine,Elementary occupations,
2006,Female,Palestine,Elementary occupations,
2007,Female,Palestine,Elementary occupations,
2008,Female,Palestine,Elementary occupations,
2009,Female,Palestine,Elementary occupations,
2010,Female,Palestine,Elementary occupations,
2011,Female,Palestine,Elementary occupations,
2012,Female,Palestine,Elementary occupations,
2013,Female,Palestine,Elementary occupations,
2014,Female,Palestine,Elementary occupations,
2015,Female,Palestine,Elementary occupations,
2016,Female,Palestine,Elementary occupations,
2017,Female,Palestine,Elementary occupations,
2018,Female,Palestine,Elementary occupations,
2019,Female,Palestine,Elementary occupations,
2020,Female,Palestine,Elementary occupations,
2021,Female,Palestine,Elementary occupations,
2000,Female,Palestine,"Legislators, senior officials and managers",
2001,Female,Palestine,"Legislators, senior officials and managers",
2002,Female,Palestine,"Legislators, senior officials and managers",
2003,Female,Palestine,"Legislators, senior officials and managers",
2004,Female,Palestine,"Legislators, senior officials and managers",
2005,Female,Palestine,"Legislators, senior officials and managers",
2006,Female,Palestine,"Legislators, senior officials and managers",
2007,Female,Palestine,"Legislators, senior officials and managers",
2008,Female,Palestine,"Legislators, senior officials and managers",
2009,Female,Palestine,"Legislators, senior officials and managers",
2010,Female,Palestine,"Legislators, senior officials and managers",
2011,Female,Palestine,"Legislators, senior officials and managers",
2012,Female,Palestine,"Legislators, senior officials and managers",
2013,Female,Palestine,"Legislators, senior officials and managers",
2014,Female,Palestine,"Legislators, senior officials and managers",
2015,Female,Palestine,"Legislators, senior officials and managers",
2016,Female,Palestine,"Legislators, senior officials and managers",
2017,Female,Palestine,"Legislators, senior officials and managers",
2018,Female,Palestine,"Legislators, senior officials and managers",
2019,Female,Palestine,"Legislators, senior officials and managers",
2020,Female,Palestine,"Legislators, senior officials and managers",
2021,Female,Palestine,"Legislators, senior officials and managers",
2000,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,82.8
2001,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,79.3
2002,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,80.9
2003,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,81.8
2004,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,81.6
2005,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,84.4
2006,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,87.5
2007,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,88.4
2008,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,95.1
2009,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,99.3
2010,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,102.3
2011,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,102.4
2012,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,103.9
2013,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,110.2
2014,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,113.5
2015,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,120.6
2016,Both sexes or no breakdown by sex,West Bank,Total or no breakdown by Occupation,128.4
