Year,URBANISATION,SEX,AREA,Series,Value
2021,Camp,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",54.6
2021,Camp,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",40.8
2018,Total,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",45.7
2021,Total,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",36.4
2018,Total,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",41.5
2021,Total,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",30.5
2018,Total,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",47.6
2021,Total,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",34.6
2018,Total,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",38.1
2021,Total,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",32.0
2018,Total,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",43.7
2021,Total,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",33.5
2018,Urban,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",42.2
2021,Urban,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",32.9
2018,Rural,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",50.7
2021,Rural,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",36.0
2018,Camp,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",46.2
2021,Camp,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Average of individuals who believe decision-making is inclusive and responsive) by URBANISATION, SEX, AREA and TIME PERIOD",35.1
