Year,SEX,AREA,OCCUPATION,Value
2016,Female,West Bank,Service and sales workers,
2017,Female,West Bank,Service and sales workers,
2018,Female,West Bank,Service and sales workers,
2019,Female,West Bank,Service and sales workers,
2020,Female,West Bank,Service and sales workers,
2021,Female,West Bank,Service and sales workers,
2000,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2001,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2002,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2003,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2004,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2005,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2006,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2007,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2008,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2009,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2010,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2011,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2012,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2013,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2014,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2015,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2016,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2017,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2018,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2019,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2020,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2021,Female,West Bank,"Skilled agricultural, forestry and fishery workers",
2000,Female,West Bank,Craft and related trades workers,
2001,Female,West Bank,Craft and related trades workers,
2002,Female,West Bank,Craft and related trades workers,
2003,Female,West Bank,Craft and related trades workers,
2004,Female,West Bank,Craft and related trades workers,
2005,Female,West Bank,Craft and related trades workers,
2006,Female,West Bank,Craft and related trades workers,
2007,Female,West Bank,Craft and related trades workers,
2008,Female,West Bank,Craft and related trades workers,
2009,Female,West Bank,Craft and related trades workers,
2010,Female,West Bank,Craft and related trades workers,
2011,Female,West Bank,Craft and related trades workers,
2012,Female,West Bank,Craft and related trades workers,
2013,Female,West Bank,Craft and related trades workers,
2014,Female,West Bank,Craft and related trades workers,
2015,Female,West Bank,Craft and related trades workers,
2016,Female,West Bank,Craft and related trades workers,
2017,Female,West Bank,Craft and related trades workers,
2018,Female,West Bank,Craft and related trades workers,
2019,Female,West Bank,Craft and related trades workers,
2020,Female,West Bank,Craft and related trades workers,
2021,Female,West Bank,Craft and related trades workers,
2000,Female,West Bank,"Plant and machine operators, and assemblers",
2001,Female,West Bank,"Plant and machine operators, and assemblers",
2002,Female,West Bank,"Plant and machine operators, and assemblers",
2003,Female,West Bank,"Plant and machine operators, and assemblers",
2004,Female,West Bank,"Plant and machine operators, and assemblers",
2005,Female,West Bank,"Plant and machine operators, and assemblers",
2006,Female,West Bank,"Plant and machine operators, and assemblers",
2007,Female,West Bank,"Plant and machine operators, and assemblers",
2008,Female,West Bank,"Plant and machine operators, and assemblers",
2009,Female,West Bank,"Plant and machine operators, and assemblers",
2010,Female,West Bank,"Plant and machine operators, and assemblers",
2011,Female,West Bank,"Plant and machine operators, and assemblers",
2012,Female,West Bank,"Plant and machine operators, and assemblers",
2013,Female,West Bank,"Plant and machine operators, and assemblers",
2014,Female,West Bank,"Plant and machine operators, and assemblers",
2015,Female,West Bank,"Plant and machine operators, and assemblers",
2016,Female,West Bank,"Plant and machine operators, and assemblers",
2017,Female,West Bank,"Plant and machine operators, and assemblers",
2018,Female,West Bank,"Plant and machine operators, and assemblers",
2019,Female,West Bank,"Plant and machine operators, and assemblers",
2020,Female,West Bank,"Plant and machine operators, and assemblers",
2021,Female,West Bank,"Plant and machine operators, and assemblers",
2000,Female,West Bank,Elementary occupations,
2001,Female,West Bank,Elementary occupations,
2002,Female,West Bank,Elementary occupations,
2003,Female,West Bank,Elementary occupations,
2004,Female,West Bank,Elementary occupations,
2005,Female,West Bank,Elementary occupations,
2006,Female,West Bank,Elementary occupations,
2007,Female,West Bank,Elementary occupations,
2008,Female,West Bank,Elementary occupations,
2009,Female,West Bank,Elementary occupations,
2010,Female,West Bank,Elementary occupations,
2011,Female,West Bank,Elementary occupations,
2012,Female,West Bank,Elementary occupations,
2013,Female,West Bank,Elementary occupations,
2014,Female,West Bank,Elementary occupations,
2015,Female,West Bank,Elementary occupations,
2016,Female,West Bank,Elementary occupations,
2017,Female,West Bank,Elementary occupations,
2018,Female,West Bank,Elementary occupations,
2019,Female,West Bank,Elementary occupations,
2020,Female,West Bank,Elementary occupations,
2021,Female,West Bank,Elementary occupations,
2000,Female,West Bank,"Legislators, senior officials and managers",
2001,Female,West Bank,"Legislators, senior officials and managers",
2002,Female,West Bank,"Legislators, senior officials and managers",
2003,Female,West Bank,"Legislators, senior officials and managers",
2004,Female,West Bank,"Legislators, senior officials and managers",
2005,Female,West Bank,"Legislators, senior officials and managers",
2006,Female,West Bank,"Legislators, senior officials and managers",
2007,Female,West Bank,"Legislators, senior officials and managers",
2008,Female,West Bank,"Legislators, senior officials and managers",
2009,Female,West Bank,"Legislators, senior officials and managers",
2010,Female,West Bank,"Legislators, senior officials and managers",
2011,Female,West Bank,"Legislators, senior officials and managers",
2012,Female,West Bank,"Legislators, senior officials and managers",
2013,Female,West Bank,"Legislators, senior officials and managers",
2014,Female,West Bank,"Legislators, senior officials and managers",
2015,Female,West Bank,"Legislators, senior officials and managers",
2016,Female,West Bank,"Legislators, senior officials and managers",
2017,Female,West Bank,"Legislators, senior officials and managers",
2018,Female,West Bank,"Legislators, senior officials and managers",
2019,Female,West Bank,"Legislators, senior officials and managers",
2020,Female,West Bank,"Legislators, senior officials and managers",
2021,Female,West Bank,"Legislators, senior officials and managers",
2000,Female,Gaza Strip,'',
2001,Female,Gaza Strip,'',
2002,Female,Gaza Strip,'',
2003,Female,Gaza Strip,'',
2004,Female,Gaza Strip,'',
2005,Female,Gaza Strip,'',
2006,Female,Gaza Strip,'',
2007,Female,Gaza Strip,'',
2008,Female,Gaza Strip,'',
2009,Female,Gaza Strip,'',
2010,Female,Gaza Strip,'',
2011,Female,Gaza Strip,'',
2012,Female,Gaza Strip,'',
2013,Female,Gaza Strip,'',
2014,Female,Gaza Strip,'',
2015,Female,Gaza Strip,'',
2016,Female,Gaza Strip,'',
2017,Female,Gaza Strip,'',
2018,Female,Gaza Strip,'',
2019,Female,Gaza Strip,'',
2020,Female,Gaza Strip,'',
2021,Female,Gaza Strip,'',
2000,Female,Gaza Strip,Technicians and associate professionals,
2001,Female,Gaza Strip,Technicians and associate professionals,
2002,Female,Gaza Strip,Technicians and associate professionals,
2003,Female,Gaza Strip,Technicians and associate professionals,
2004,Female,Gaza Strip,Technicians and associate professionals,
2005,Female,Gaza Strip,Technicians and associate professionals,
2006,Female,Gaza Strip,Technicians and associate professionals,
2007,Female,Gaza Strip,Technicians and associate professionals,
2008,Female,Gaza Strip,Technicians and associate professionals,
2009,Female,Gaza Strip,Technicians and associate professionals,
2010,Female,Gaza Strip,Technicians and associate professionals,
2011,Female,Gaza Strip,Technicians and associate professionals,
2012,Female,Gaza Strip,Technicians and associate professionals,
2013,Female,Gaza Strip,Technicians and associate professionals,
2014,Female,Gaza Strip,Technicians and associate professionals,
2015,Female,Gaza Strip,Technicians and associate professionals,
2016,Female,Gaza Strip,Technicians and associate professionals,
2017,Female,Gaza Strip,Technicians and associate professionals,
2018,Female,Gaza Strip,Technicians and associate professionals,
2019,Female,Gaza Strip,Technicians and associate professionals,
2020,Female,Gaza Strip,Technicians and associate professionals,
2021,Female,Gaza Strip,Technicians and associate professionals,
2000,Female,Gaza Strip,Service and sales workers,
2001,Female,Gaza Strip,Service and sales workers,
2002,Female,Gaza Strip,Service and sales workers,
2003,Female,Gaza Strip,Service and sales workers,
2004,Female,Gaza Strip,Service and sales workers,
2005,Female,Gaza Strip,Service and sales workers,
2006,Female,Gaza Strip,Service and sales workers,
2007,Female,Gaza Strip,Service and sales workers,
2008,Female,Gaza Strip,Service and sales workers,
2009,Female,Gaza Strip,Service and sales workers,
2010,Female,Gaza Strip,Service and sales workers,
2011,Female,Gaza Strip,Service and sales workers,
2012,Female,Gaza Strip,Service and sales workers,
2013,Female,Gaza Strip,Service and sales workers,
2014,Female,Gaza Strip,Service and sales workers,
2015,Female,Gaza Strip,Service and sales workers,
2016,Female,Gaza Strip,Service and sales workers,
2017,Female,Gaza Strip,Service and sales workers,
2018,Female,Gaza Strip,Service and sales workers,
2019,Female,Gaza Strip,Service and sales workers,
2020,Female,Gaza Strip,Service and sales workers,
2021,Female,Gaza Strip,Service and sales workers,
2000,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2001,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2002,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2003,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2004,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2005,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2006,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2007,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2008,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2009,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2010,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2011,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2012,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2013,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2014,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2015,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2016,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2017,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2018,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2019,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2020,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2021,Female,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2000,Female,Gaza Strip,Craft and related trades workers,
2001,Female,Gaza Strip,Craft and related trades workers,
2002,Female,Gaza Strip,Craft and related trades workers,
2003,Female,Gaza Strip,Craft and related trades workers,
2004,Female,Gaza Strip,Craft and related trades workers,
2005,Female,Gaza Strip,Craft and related trades workers,
2006,Female,Gaza Strip,Craft and related trades workers,
2007,Female,Gaza Strip,Craft and related trades workers,
2008,Female,Gaza Strip,Craft and related trades workers,
2009,Female,Gaza Strip,Craft and related trades workers,
2010,Female,Gaza Strip,Craft and related trades workers,
2011,Female,Gaza Strip,Craft and related trades workers,
2012,Female,Gaza Strip,Craft and related trades workers,
2013,Female,Gaza Strip,Craft and related trades workers,
2014,Female,Gaza Strip,Craft and related trades workers,
2015,Female,Gaza Strip,Craft and related trades workers,
2016,Female,Gaza Strip,Craft and related trades workers,
2017,Female,Gaza Strip,Craft and related trades workers,
2018,Female,Gaza Strip,Craft and related trades workers,
2019,Female,Gaza Strip,Craft and related trades workers,
2020,Female,Gaza Strip,Craft and related trades workers,
2021,Female,Gaza Strip,Craft and related trades workers,
2000,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2001,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2002,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2003,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2004,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2005,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2006,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2007,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2008,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2009,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2010,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2011,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2012,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2013,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2014,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2015,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2016,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2017,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2018,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2019,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2020,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2021,Female,Gaza Strip,"Plant and machine operators, and assemblers",
2000,Female,Gaza Strip,Elementary occupations,
2001,Female,Gaza Strip,Elementary occupations,
2002,Female,Gaza Strip,Elementary occupations,
2003,Female,Gaza Strip,Elementary occupations,
2004,Female,Gaza Strip,Elementary occupations,
2005,Female,Gaza Strip,Elementary occupations,
2006,Female,Gaza Strip,Elementary occupations,
2007,Female,Gaza Strip,Elementary occupations,
2008,Female,Gaza Strip,Elementary occupations,
2009,Female,Gaza Strip,Elementary occupations,
2010,Female,Gaza Strip,Elementary occupations,
2011,Female,Gaza Strip,Elementary occupations,
2012,Female,Gaza Strip,Elementary occupations,
2013,Female,Gaza Strip,Elementary occupations,
2014,Female,Gaza Strip,Elementary occupations,
2015,Female,Gaza Strip,Elementary occupations,
2016,Female,Gaza Strip,Elementary occupations,
2017,Female,Gaza Strip,Elementary occupations,
2018,Female,Gaza Strip,Elementary occupations,
2019,Female,Gaza Strip,Elementary occupations,
2020,Female,Gaza Strip,Elementary occupations,
2021,Female,Gaza Strip,Elementary occupations,
2000,Female,Gaza Strip,"Legislators, senior officials and managers",
2001,Female,Gaza Strip,"Legislators, senior officials and managers",
2002,Female,Gaza Strip,"Legislators, senior officials and managers",
2003,Female,Gaza Strip,"Legislators, senior officials and managers",
2004,Female,Gaza Strip,"Legislators, senior officials and managers",
2005,Female,Gaza Strip,"Legislators, senior officials and managers",
2006,Female,Gaza Strip,"Legislators, senior officials and managers",
2007,Female,Gaza Strip,"Legislators, senior officials and managers",
2008,Female,Gaza Strip,"Legislators, senior officials and managers",
2009,Female,Gaza Strip,"Legislators, senior officials and managers",
2010,Female,Gaza Strip,"Legislators, senior officials and managers",
2011,Female,Gaza Strip,"Legislators, senior officials and managers",
2012,Female,Gaza Strip,"Legislators, senior officials and managers",
2013,Female,Gaza Strip,"Legislators, senior officials and managers",
2014,Female,Gaza Strip,"Legislators, senior officials and managers",
2015,Female,Gaza Strip,"Legislators, senior officials and managers",
2016,Female,Gaza Strip,"Legislators, senior officials and managers",
2017,Female,Gaza Strip,"Legislators, senior officials and managers",
2018,Female,Gaza Strip,"Legislators, senior officials and managers",
2019,Female,Gaza Strip,"Legislators, senior officials and managers",
2020,Female,Gaza Strip,"Legislators, senior officials and managers",
2021,Female,Gaza Strip,"Legislators, senior officials and managers",
2000,Female,Palestine,'',55.1
2001,Female,Palestine,'',56.3
2002,Female,Palestine,'',61.3
2003,Female,Palestine,'',61.9
2004,Female,Palestine,'',63.8
2005,Female,Palestine,'',66.9
2006,Female,Palestine,'',70.6
2007,Female,Palestine,'',70.1
2008,Female,Palestine,'',74.6
2009,Female,Palestine,'',77.0
2010,Female,Palestine,'',77.4
2011,Female,Palestine,'',79.3
2012,Female,Palestine,'',82.5
2013,Female,Palestine,'',81.5
2014,Female,Palestine,'',81.1
2015,Female,Palestine,'',82.3
2016,Female,Palestine,'',83.4
2017,Female,Palestine,'',84.6
2018,Female,Palestine,'',92.5
2019,Female,Palestine,'',98.6
2020,Female,Palestine,'',107.7
2021,Female,Palestine,'',106.1
2000,Female,Palestine,Technicians and associate professionals,
2001,Female,Palestine,Technicians and associate professionals,
2002,Female,Palestine,Technicians and associate professionals,
2003,Female,Palestine,Technicians and associate professionals,
2004,Female,Palestine,Technicians and associate professionals,
2005,Female,Palestine,Technicians and associate professionals,
2006,Female,Palestine,Technicians and associate professionals,
2007,Female,Palestine,Technicians and associate professionals,
2008,Female,Palestine,Technicians and associate professionals,
2009,Female,Palestine,Technicians and associate professionals,
2010,Female,Palestine,Technicians and associate professionals,
2011,Female,Palestine,Technicians and associate professionals,
2012,Female,Palestine,Technicians and associate professionals,
2013,Female,Palestine,Technicians and associate professionals,
2014,Female,Palestine,Technicians and associate professionals,
2015,Female,Palestine,Technicians and associate professionals,
2016,Female,Palestine,Technicians and associate professionals,
2017,Female,Palestine,Technicians and associate professionals,
2018,Female,Palestine,Technicians and associate professionals,
2019,Female,Palestine,Technicians and associate professionals,
2020,Female,Palestine,Technicians and associate professionals,
2021,Female,Palestine,Technicians and associate professionals,
2000,Female,Palestine,Service and sales workers,
2001,Female,Palestine,Service and sales workers,
2002,Female,Palestine,Service and sales workers,
2003,Female,Palestine,Service and sales workers,
2004,Female,Palestine,Service and sales workers,
2005,Female,Palestine,Service and sales workers,
2006,Female,Palestine,Service and sales workers,
2007,Female,Palestine,Service and sales workers,
2008,Female,Palestine,Service and sales workers,
2009,Female,Palestine,Service and sales workers,
2010,Female,Palestine,Service and sales workers,
2011,Female,Palestine,Service and sales workers,
2012,Female,Palestine,Service and sales workers,
2013,Female,Palestine,Service and sales workers,
2014,Female,Palestine,Service and sales workers,
2015,Female,Palestine,Service and sales workers,
2016,Female,Palestine,Service and sales workers,
2017,Female,Palestine,Service and sales workers,
2018,Female,Palestine,Service and sales workers,
2019,Female,Palestine,Service and sales workers,
2020,Female,Palestine,Service and sales workers,
2021,Female,Palestine,Service and sales workers,
2000,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2001,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2002,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2003,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2004,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2005,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2006,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2007,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2008,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2009,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2010,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2011,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2012,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2013,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2014,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2015,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2016,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2017,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2018,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2019,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2020,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2021,Female,Palestine,"Skilled agricultural, forestry and fishery workers",
2000,Female,Palestine,Craft and related trades workers,
2001,Female,Palestine,Craft and related trades workers,
2002,Female,Palestine,Craft and related trades workers,
2003,Female,Palestine,Craft and related trades workers,
2004,Female,Palestine,Craft and related trades workers,
2005,Female,Palestine,Craft and related trades workers,
2006,Female,Palestine,Craft and related trades workers,
2007,Female,Palestine,Craft and related trades workers,
2008,Female,Palestine,Craft and related trades workers,
2009,Female,Palestine,Craft and related trades workers,
2010,Female,Palestine,Craft and related trades workers,
2011,Female,Palestine,Craft and related trades workers,
2012,Female,Palestine,Craft and related trades workers,
2013,Female,Palestine,Craft and related trades workers,
2014,Female,Palestine,Craft and related trades workers,
2015,Female,Palestine,Craft and related trades workers,
2016,Female,Palestine,Craft and related trades workers,
2017,Female,Palestine,Craft and related trades workers,
2018,Female,Palestine,Craft and related trades workers,
2019,Female,Palestine,Craft and related trades workers,
2020,Female,Palestine,Craft and related trades workers,
2021,Female,Palestine,Craft and related trades workers,
2000,Female,Palestine,"Plant and machine operators, and assemblers",
2001,Female,Palestine,"Plant and machine operators, and assemblers",
2002,Female,Palestine,"Plant and machine operators, and assemblers",
2003,Female,Palestine,"Plant and machine operators, and assemblers",
2004,Female,Palestine,"Plant and machine operators, and assemblers",
2005,Female,Palestine,"Plant and machine operators, and assemblers",
2006,Female,Palestine,"Plant and machine operators, and assemblers",
2007,Female,Palestine,"Plant and machine operators, and assemblers",
2008,Female,Palestine,"Plant and machine operators, and assemblers",
2009,Female,Palestine,"Plant and machine operators, and assemblers",
2010,Female,Palestine,"Plant and machine operators, and assemblers",
2011,Female,Palestine,"Plant and machine operators, and assemblers",
2012,Female,Palestine,"Plant and machine operators, and assemblers",
2013,Female,Palestine,"Plant and machine operators, and assemblers",
2014,Female,Palestine,"Plant and machine operators, and assemblers",
2015,Female,Palestine,"Plant and machine operators, and assemblers",
2016,Female,Palestine,"Plant and machine operators, and assemblers",
2017,Female,Palestine,"Plant and machine operators, and assemblers",
2018,Female,Palestine,"Plant and machine operators, and assemblers",
2019,Female,Palestine,"Plant and machine operators, and assemblers",
2020,Female,Palestine,"Plant and machine operators, and assemblers",
2021,Female,Palestine,"Plant and machine operators, and assemblers",
2000,Female,Palestine,Elementary occupations,
2001,Female,Palestine,Elementary occupations,
2002,Female,Palestine,Elementary occupations,
2003,Female,Palestine,Elementary occupations,
2004,Female,Palestine,Elementary occupations,
2005,Female,Palestine,Elementary occupations,
2006,Female,Palestine,Elementary occupations,
2007,Female,Palestine,Elementary occupations,
2008,Female,Palestine,Elementary occupations,
2009,Female,Palestine,Elementary occupations,
2010,Female,Palestine,Elementary occupations,
2011,Female,Palestine,Elementary occupations,
2012,Female,Palestine,Elementary occupations,
2013,Female,Palestine,Elementary occupations,
2014,Female,Palestine,Elementary occupations,
2015,Female,Palestine,Elementary occupations,
2016,Female,Palestine,Elementary occupations,
2017,Female,Palestine,Elementary occupations,
2018,Female,Palestine,Elementary occupations,
2019,Female,Palestine,Elementary occupations,
2020,Female,Palestine,Elementary occupations,
2021,Female,Palestine,Elementary occupations,
2000,Female,Palestine,"Legislators, senior officials and managers",
2001,Female,Palestine,"Legislators, senior officials and managers",
2002,Female,Palestine,"Legislators, senior officials and managers",
2003,Female,Palestine,"Legislators, senior officials and managers",
2004,Female,Palestine,"Legislators, senior officials and managers",
2005,Female,Palestine,"Legislators, senior officials and managers",
2006,Female,Palestine,"Legislators, senior officials and managers",
2007,Female,Palestine,"Legislators, senior officials and managers",
2008,Female,Palestine,"Legislators, senior officials and managers",
2009,Female,Palestine,"Legislators, senior officials and managers",
2010,Female,Palestine,"Legislators, senior officials and managers",
2011,Female,Palestine,"Legislators, senior officials and managers",
2012,Female,Palestine,"Legislators, senior officials and managers",
2013,Female,Palestine,"Legislators, senior officials and managers",
2014,Female,Palestine,"Legislators, senior officials and managers",
2015,Female,Palestine,"Legislators, senior officials and managers",
2016,Female,Palestine,"Legislators, senior officials and managers",
2017,Female,Palestine,"Legislators, senior officials and managers",
2018,Female,Palestine,"Legislators, senior officials and managers",
2019,Female,Palestine,"Legislators, senior officials and managers",
2020,Female,Palestine,"Legislators, senior officials and managers",
2021,Female,Palestine,"Legislators, senior officials and managers",
2000,'',West Bank,'',82.8
2001,'',West Bank,'',79.3
2002,'',West Bank,'',80.9
2003,'',West Bank,'',81.8
2004,'',West Bank,'',81.6
2005,'',West Bank,'',84.4
2006,'',West Bank,'',87.5
2007,'',West Bank,'',88.4
2008,'',West Bank,'',95.1
2009,'',West Bank,'',99.3
2010,'',West Bank,'',102.3
2011,'',West Bank,'',102.4
2012,'',West Bank,'',103.9
2013,'',West Bank,'',110.2
2014,'',West Bank,'',113.5
2015,'',West Bank,'',120.6
2016,'',West Bank,'',128.4
2017,'',West Bank,'',134.8
2018,'',West Bank,'',143.6
2019,'',West Bank,'',151.7
2020,'',West Bank,'',155.3
2021,'',West Bank,'',161.5
2000,'',West Bank,Technicians and associate professionals,
2001,'',West Bank,Technicians and associate professionals,
2002,'',West Bank,Technicians and associate professionals,
2003,'',West Bank,Technicians and associate professionals,
2004,'',West Bank,Technicians and associate professionals,
2005,'',West Bank,Technicians and associate professionals,
2006,'',West Bank,Technicians and associate professionals,
2007,'',West Bank,Technicians and associate professionals,
2008,'',West Bank,Technicians and associate professionals,
2009,'',West Bank,Technicians and associate professionals,
2010,'',West Bank,Technicians and associate professionals,
2011,'',West Bank,Technicians and associate professionals,
2012,'',West Bank,Technicians and associate professionals,
2013,'',West Bank,Technicians and associate professionals,
2014,'',West Bank,Technicians and associate professionals,
2015,'',West Bank,Technicians and associate professionals,
2016,'',West Bank,Technicians and associate professionals,
2017,'',West Bank,Technicians and associate professionals,
2018,'',West Bank,Technicians and associate professionals,
2019,'',West Bank,Technicians and associate professionals,
2020,'',West Bank,Technicians and associate professionals,
2021,'',West Bank,Technicians and associate professionals,
2000,'',West Bank,Service and sales workers,
2001,'',West Bank,Service and sales workers,
2002,'',West Bank,Service and sales workers,
2003,'',West Bank,Service and sales workers,
2004,'',West Bank,Service and sales workers,
2005,'',West Bank,Service and sales workers,
2006,'',West Bank,Service and sales workers,
2007,'',West Bank,Service and sales workers,
2008,'',West Bank,Service and sales workers,
2009,'',West Bank,Service and sales workers,
2010,'',West Bank,Service and sales workers,
2011,'',West Bank,Service and sales workers,
2012,'',West Bank,Service and sales workers,
2013,'',West Bank,Service and sales workers,
2014,'',West Bank,Service and sales workers,
2015,'',West Bank,Service and sales workers,
2016,'',West Bank,Service and sales workers,
2017,'',West Bank,Service and sales workers,
2018,'',West Bank,Service and sales workers,
2019,'',West Bank,Service and sales workers,
2020,'',West Bank,Service and sales workers,
2021,'',West Bank,Service and sales workers,
2000,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2001,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2002,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2003,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2004,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2005,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2006,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2007,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2008,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2009,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2010,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2011,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2012,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2013,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2014,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2015,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2016,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2017,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2018,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2019,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2020,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2021,'',West Bank,"Skilled agricultural, forestry and fishery workers",
2000,'',West Bank,Craft and related trades workers,
2001,'',West Bank,Craft and related trades workers,
2002,'',West Bank,Craft and related trades workers,
2003,'',West Bank,Craft and related trades workers,
2004,'',West Bank,Craft and related trades workers,
2005,'',West Bank,Craft and related trades workers,
2006,'',West Bank,Craft and related trades workers,
2007,'',West Bank,Craft and related trades workers,
2008,'',West Bank,Craft and related trades workers,
2009,'',West Bank,Craft and related trades workers,
2010,'',West Bank,Craft and related trades workers,
2011,'',West Bank,Craft and related trades workers,
2012,'',West Bank,Craft and related trades workers,
2013,'',West Bank,Craft and related trades workers,
2014,'',West Bank,Craft and related trades workers,
2015,'',West Bank,Craft and related trades workers,
2016,'',West Bank,Craft and related trades workers,
